"station_id","name","lat","lon","elev_m"
"GOLD01","Golden site 1",46.220903896261,-114.110171515029,1579
"GOLD02","Golden site 2",46.3757731930818,-113.801456360612,1496
"GOLD03","Golden site 3",46.2609823283274,-113.955942135537,1189
"GOLD04","Golden site 4",46.3861245661974,-114.273532821331,1128
"GOLD05","Golden site 5",45.9564809601288,-114.015442244941,1439
"GOLD06","Golden site 6",45.6663717851043,-113.70699283015,1300
"GOLD07","Golden site 7",45.82509538671,-114.494012370473,1438
"GOLD08","Golden site 8",46.009224335663,-114.312287554145,1048
"GOLD09","Golden site 9",46.2277052537538,-113.81816637679,1261
"GOLD10","Golden site 10",46.4897369379178,-114.129895876395,1142
"GOLD11","Golden site 11",45.5345354350284,-114.138374429895,1475
"GOLD12","Golden site 12",45.6523734901566,-113.631205101497,1155
"GOLD13","Golden site 13",46.2356849524658,-113.595845334232,1592
"GOLD14","Golden site 14",45.5011365865357,-113.8825754344,1454
"GOLD15","Golden site 15",45.8912033352535,-114.365968365455,1588
"GOLD16","Golden site 16",45.9624946541153,-113.717806719476,1131
"GOLD17","Golden site 17",45.8881439815741,-114.070801180089,1569
"GOLD18","Golden site 18",45.9024851417635,-113.572726025013,1090
"GOLD19","Golden site 19",45.6789635848254,-113.726756775286,1360
"GOLD20","Golden site 20",46.4516587536782,-114.240318753291,1568
"GOLD21","Golden site 21",45.9537280732766,-114.178775326582,1413
"GOLD22","Golden site 22",45.8267524086405,-114.439804842696,1303
"GOLD23","Golden site 23",46.465415323386,-114.45654354617,1224
"GOLD24","Golden site 24",46.2074818771798,-114.444946181728,1201
"GOLD25","Golden site 25",46.1445426365826,-113.874457203085,1029
