"station_id","year","value"
"GOLD01",1,40.7557
"GOLD01",2,71.1964
"GOLD01",3,42.1076
"GOLD01",4,37.1945
"GOLD01",5,27.0018
"GOLD01",6,54.9014
"GOLD01",7,37.32
"GOLD01",8,18.8123
"GOLD01",9,20.3914
"GOLD01",10,26.8172
"GOLD01",11,31.4769
"GOLD01",12,51.0521
"GOLD01",13,36.956
"GOLD01",14,49.5085
"GOLD01",15,23.4259
"GOLD01",16,62.6333
"GOLD01",17,49.8157
"GOLD01",18,24.3116
"GOLD01",19,40.1176
"GOLD01",20,44.6457
"GOLD01",21,37.3019
"GOLD01",22,44.8946
"GOLD01",23,46.3721
"GOLD01",24,25.0327
"GOLD01",25,33.9854
"GOLD01",26,31.1911
"GOLD01",27,40.6947
"GOLD01",28,76.9688
"GOLD01",29,40.7292
"GOLD01",30,37.5309
"GOLD01",31,58.6186
"GOLD01",32,41.4367
"GOLD01",33,54.2989
"GOLD01",34,30.0042
"GOLD01",35,28.9856
"GOLD01",36,40.4174
"GOLD01",37,33.5932
"GOLD01",38,46.6531
"GOLD01",39,33.4924
"GOLD01",40,48.9534
"GOLD01",41,59.0564
"GOLD01",42,84.0381
"GOLD01",43,39.6715
"GOLD01",44,18.9757
"GOLD01",45,31.9019
"GOLD01",46,38.7279
"GOLD01",47,37.3344
"GOLD01",48,24.7872
"GOLD01",49,43.2553
"GOLD01",50,44.425
"GOLD01",51,49.2901
"GOLD01",52,66.0552
"GOLD01",53,28.1483
"GOLD01",54,30.7611
"GOLD01",55,47.7048
"GOLD01",56,21.7144
"GOLD01",57,42.7854
"GOLD01",58,50.1291
"GOLD01",59,42.4317
"GOLD01",60,66.1522
"GOLD01",61,55.3506
"GOLD01",62,43.862
"GOLD01",63,28.0998
"GOLD01",64,25.1098
"GOLD01",65,49.7875
"GOLD01",66,37.5434
"GOLD01",67,43.695
"GOLD01",68,29.0219
"GOLD01",69,41.157
"GOLD01",70,26.9001
"GOLD01",71,70.3593
"GOLD01",72,91.4726
"GOLD01",73,36.7802
"GOLD01",74,61.1768
"GOLD01",75,33.2862
"GOLD01",76,51.1565
"GOLD01",77,38.7146
"GOLD01",78,48.9976
"GOLD01",79,32.7429
"GOLD01",80,28.7961
"GOLD01",81,48.3243
"GOLD01",82,43.2469
"GOLD01",83,34.9298
"GOLD01",84,52.6947
"GOLD01",85,40.1529
"GOLD01",86,45.8954
"GOLD01",87,39.9091
"GOLD01",88,53.1345
"GOLD01",89,50.2077
"GOLD01",90,33.5111
"GOLD01",91,36.658
"GOLD01",92,97.9566
"GOLD01",93,27.7649
"GOLD01",94,51.7086
"GOLD01",95,33.9304
"GOLD01",96,74.3088
"GOLD01",97,28.1952
"GOLD01",98,46.3343
"GOLD01",99,31.5697
"GOLD01",100,33.474
"GOLD01",101,46.415
"GOLD01",102,44.1645
"GOLD01",103,61.3343
"GOLD01",104,48.9727
"GOLD01",105,51.3085
"GOLD01",106,27.5612
"GOLD01",107,34.3184
"GOLD01",108,28.4355
"GOLD01",109,30.2335
"GOLD01",110,74.9523
"GOLD01",111,50.0517
"GOLD01",112,32.6236
"GOLD01",113,64.7299
"GOLD01",114,27.43
"GOLD01",115,27.2199
"GOLD01",116,46.5888
"GOLD01",117,56.574
"GOLD01",118,31.5237
"GOLD01",119,31.6402
"GOLD01",120,84.52
"GOLD01",121,18.425
"GOLD01",122,30.6431
"GOLD01",123,49.149
"GOLD01",124,29.7968
"GOLD01",125,35.6708
"GOLD01",126,39.6934
"GOLD01",127,57.3475
"GOLD01",128,26.1031
"GOLD01",129,37.2857
"GOLD01",130,42.4508
"GOLD01",131,47.2117
"GOLD01",132,24.9089
"GOLD01",133,23.7837
"GOLD01",134,38.6196
"GOLD01",135,41.9657
"GOLD01",136,31.2317
"GOLD01",137,43.7804
"GOLD01",138,33.4363
"GOLD01",139,30.2765
"GOLD01",140,65.1343
"GOLD01",141,34.8985
"GOLD01",142,32.0708
"GOLD01",143,37.9489
"GOLD01",144,41.0098
"GOLD01",145,27.651
"GOLD01",146,25.57
"GOLD01",147,25.4922
"GOLD01",148,24.9137
"GOLD01",149,37.9385
"GOLD01",150,57.8193
"GOLD01",151,44.4275
"GOLD01",152,59.1635
"GOLD01",153,35.0606
"GOLD01",154,35.9443
"GOLD01",155,40.0201
"GOLD01",156,31.5232
"GOLD01",157,39.1377
"GOLD01",158,36.2738
